Date,High_MKC,Low_MKC,Open_MKC,Close_MKC,Volume_MKC
2021-06-22,87.88999938964844,87.0,87.16999816894531,87.26000213623047,1081600
2021-06-23,87.22000122070312,86.08000183105469,87.22000122070312,86.11000061035156,1621600
2021-06-24,86.4000015258789,85.58000183105469,86.20999908447266,86.27999877929688,910900
2021-06-25,87.45999908447266,86.02999877929688,86.31999969482422,87.27999877929688,4280900
2021-06-28,88.70999908447266,87.55000305175781,87.62999725341797,88.1500015258789,1252600
2021-06-29,88.69999694824219,87.33000183105469,88.1500015258789,87.62000274658203,1280500
2021-06-30,88.4800033569336,87.44999694824219,87.9800033569336,88.31999969482422,1817500
2021-07-01,88.95999908447266,86.69000244140625,87.48999786376953,87.97000122070312,2431600
2021-07-02,89.2300033569336,88.19000244140625,88.62000274658203,88.58999633789062,1127800
2021-07-06,88.62000274658203,87.4000015258789,88.5,88.05000305175781,1045200
2021-07-07,88.77999877929688,87.69000244140625,87.9000015258789,88.18000030517578,989400
2021-07-08,88.6500015258789,86.88999938964844,87.87000274658203,87.08000183105469,1285100
2021-07-09,87.2699966430664,86.37000274658203,87.16000366210938,87.0999984741211,1060500
2021-07-12,86.94999694824219,85.8499984741211,86.94999694824219,86.69000244140625,1208300
2021-07-13,86.88999938964844,85.5199966430664,86.55000305175781,85.69999694824219,867900
2021-07-14,86.44000244140625,85.29000091552734,85.62999725341797,86.18000030517578,953000
2021-07-15,87.08999633789062,85.83999633789062,86.1500015258789,87.06999969482422,611200
2021-07-16,87.97000122070312,87.0,87.29000091552734,87.9000015258789,790200
2021-07-19,88.63999938964844,87.33000183105469,87.70999908447266,88.61000061035156,1234900
2021-07-20,89.52999877929688,87.62000274658203,88.6500015258789,87.69999694824219,1004700
2021-07-21,87.6500015258789,85.54000091552734,87.58999633789062,85.55999755859375,1354700
2021-07-22,85.41000366210938,84.37000274658203,85.36000061035156,84.7300033569336,1130900
2021-07-23,85.95999908447266,84.51000213623047,84.81999969482422,85.72000122070312,986500
2021-07-26,85.75,84.98999786376953,85.16999816894531,85.37999725341797,817400
2021-07-27,86.58000183105469,85.06999969482422,85.33999633789062,85.75,1168400
2021-07-28,85.70999908447266,84.2699966430664,85.41999816894531,84.69999694824219,972800
2021-07-29,85.06999969482422,84.08000183105469,85.01000213623047,84.25,870500
2021-07-30,85.08999633789062,84.08999633789062,84.47000122070312,84.16999816894531,1402400
2021-08-02,84.76000213623047,83.8499984741211,84.20999908447266,84.08999633789062,826500
2021-08-03,84.94000244140625,83.7300033569336,83.98999786376953,83.79000091552734,848500
2021-08-04,83.83000183105469,82.66999816894531,83.7300033569336,83.18000030517578,1048300
2021-08-05,83.63999938964844,82.91000366210938,83.36000061035156,83.25,908800
2021-08-06,83.94999694824219,83.08000183105469,83.18000030517578,83.43000030517578,809400
2021-08-09,84.0,83.23999786376953,83.68000030517578,83.69999694824219,655700
2021-08-10,84.31999969482422,83.63999938964844,83.80999755859375,84.23999786376953,1520800
2021-08-11,85.91999816894531,84.23999786376953,84.23999786376953,85.4800033569336,1218300
2021-08-12,85.83999633789062,85.08999633789062,85.61000061035156,85.68000030517578,908400
2021-08-13,86.94999694824219,85.9000015258789,86.04000091552734,86.68000030517578,876500
2021-08-16,87.44000244140625,86.41999816894531,86.80000305175781,87.37999725341797,825000
2021-08-17,88.02999877929688,87.08000183105469,87.43000030517578,87.83999633789062,654800
2021-08-18,87.9800033569336,86.30999755859375,87.72000122070312,86.33999633789062,700600
